Name                              Brand            CellType            Efficiency  Length   NominalLength  Width     NominalWidth  Thickness  m    n    Pmax    Vmpp   Impp   Voc    Isc    PmaxTC    NOCT   Weight  Color   Shade Tolerance   Bifacial
TSM-665DEG21C.20,                 Trina Solar,     Monocrystalline,    0.214,      2.384,   2.38,          1.303,    1.30,         0.033,     22,  6,   665,    38.3, 17.39,  46.1, 18.50,  -0.0034,  43,    38.3,   Black,  Partial,          0.7
VBHN330SA16,                      Panasonic,       Monocrystalline,    0.1971,     1.59,    1.56,          1.053,    1.05,         0.035,     12,  8,   330,    58,    5.7,   69.7,  6.07,  -0.003,   44,    18.5,   Black,  Partial,          0
YL165P-23b,                       Yingli,          Polycrystalline,    0.127,      1.31,    1.31,          0.99,     0.99,         0.05,       8,  6,   165,    23,    7.17,  29,    7.9,   -0.0045,  46,    15.8,   Blue,   None,             0
YL205P-26b,                       Yingli,          Polycrystalline,    0.139,      1.495,   1.5,           0.99,     0.99,         0.05,       9,  6,   205,    26.5,  7.74,  33.5,  8.33,  -0.0045,  46,    18,     Blue,   None,             0
YL295P-35b,                       Yingli,          Polycrystalline,    0.1513,     1.97,    1.96,          0.99,     0.99,         0.05,      12,  6,   295,    36.3,  8.12,  45.4,  8.63,  -0.0045,  46,    26.8,   Blue,   Partial,          0
YL305P-35b,                       Yingli,          Polycrystalline,    0.1564,     1.97,    1.96,          0.99,     0.99,         0.05,      12,  6,   305,    37,    8.25,  46.3,  8.87,  -0.0045,  46,    26.8,   Blue,   Partial,          0
YL310P-35b,                       Yingli,          Polycrystalline,    0.1589,     1.97,    1.96,          0.99,     0.99,         0.05,      12,  6,   310,    36.9,  8.41,  46.4,  8.98,  -0.0045,  46,    26.8,   Blue,   Partial,          0
YL325P-35b,                       Yingli,          Polycrystalline,    0.1638,     2.00,    1.96,          0.992,    0.99,         0.04,      12,  6,   325,    37.3,  8.72,  46.3,  9.24,  -0.0042,  46,    26,     Blue,   Partial,          0
YL330P-35b,                       Yingli,          Polycrystalline,    0.1663,     2.00,    1.96,          0.992,    0.99,         0.04,      12,  6,   330,    37.4,  8.84,  46.4,  9.29,  -0.0042,  46,    26,     Blue,   Partial,          0
YL345D-36b,                       Yingli,          Monocrystalline,    0.1774,     1.96,    1.96,          0.992,    0.99,         0.04,      12,  6,   345,    38.6,  8.94,  46.3,  9.4,   -0.0039,  45,    22,     Black,  High,             0
YL350D-36b,                       Yingli,          Monocrystalline,    0.18,       1.96,    1.96,          0.992,    0.99,         0.04,      12,  6,   350,    38.8,  9.03,  46.4,  9.5,   -0.0039,  45,    22,     Black,  High,             0
YL360D-36b,                       Yingli,          Monocrystalline,    0.1852,     1.96,    1.96,          0.992,    0.99,         0.04,      12,  6,   360,    39.3,  9.17,  46.6,  9.7,   -0.0039,  45,    22,     Black,  High,             0
YL365D-36b,                       Yingli,          Monocrystalline,    0.1877,     1.96,    1.96,          0.992,    0.99,         0.04,      12,  6,   365,    39.7,  9.2,   48.1,  9.73,  -0.0039,  45,    22,     Black,  High,             0
YL370D-36b,                       Yingli,          Monocrystalline,    0.1903,     1.96,    1.96,          0.992,    0.99,         0.04,      12,  6,   375,    39.8,  9.3,   48.2,  9.8,   -0.0039,  45,    22,     Black,  High,             0
YL375D-36b,                       Yingli,          Monocrystalline,    0.1929,     1.96,    1.96,          0.992,    0.99,         0.04,      12,  6,   370,    39.9,  9.4,   48.3,  9.87,  -0.0039,  45,    22,     Black,  High,             0
YL550CF72e,                       Yingli,          Monocrystalline,    0.2129,     2.278,   2.28,          1.134,    1.13,         0.03,      24,  6,   550,    41.57,13.24,  50.26,13.99,  -0.003,   42,    32,     Black,  High,             0.8
YL555CF72e,                       Yingli,          Monocrystalline,    0.2148,     2.278,   2.28,          1.134,    1.13,         0.03,      24,  6,   555,    41.76,13.30,  50.46,14.07,  -0.003,   42,    32,     Black,  High,             0.8
YL560CF72e,                       Yingli,          Monocrystalline,    0.2168,     2.278,   2.28,          1.134,    1.13,         0.03,      24,  6,   560,    41.94,13.36,  50.66,14.14,  -0.003,   42,    32,     Black,  High,             0.8
YL565CF72e,                       Yingli,          Monocrystalline,    0.2187,     2.278,   2.28,          1.134,    1.13,         0.03,      24,  6,   565,    42.13,13.42,  50.86,14.20,  -0.003,   42,    32,     Black,  High,             0.8
YL570CF72e,                       Yingli,          Monocrystalline,    0.2207,     2.278,   2.28,          1.134,    1.13,         0.03,      24,  6,   570,    42.29,13.48,  51.06,14.26,  -0.003,   42,    32,     Black,  High,             0.8
YL575CF72e,                       Yingli,          Monocrystalline,    0.2226,     2.278,   2.28,          1.134,    1.13,         0.03,      24,  6,   575,    42.47,13.54,  51.26,14.32,  -0.003,   42,    32,     Black,  High,             0.8
